ecosystem,package,version,license
rust,borsh,1.6.0,Apache-2.0 OR MIT
rust,btparse,0.2.0,Apache-2.0 OR MIT
rust,bumpalo,3.19.1,Apache-2.0 OR MIT
rust,bytemuck,1.24.0,Apache-2.0 OR MIT OR Zlib
rust,bytemuck_derive,1.10.2,Apache-2.0 OR MIT OR Zlib
rust,byteorder,1.5.0,MIT OR Unlicense
rust,bytes,1.11.0,MIT
rust,camino,1.2.2,Apache-2.0 OR MIT
rust,cargo_metadata,0.15.4,MIT
rust,cargo_metadata,0.19.2,MIT
rust,cargo-platform,0.1.9,Apache-2.0 OR MIT
rust,cassowary,0.3.0,Apache-2.0 OR MIT
rust,cast,0.3.0,Apache-2.0 OR MIT
rust,castaway,0.2.4,MIT
rust,cc,1.2.52,Apache-2.0 OR MIT
rust,cesu8,1.1.0,Apache-2.0 OR MIT
rust,cfg_aliases,0.2.1,MIT
rust,cfg-if,1.0.4,Apache-2.0 OR MIT
rust,chacha20,0.10.0-rc.2,Apache-2.0 OR MIT
rust,chacha20,0.9.1,Apache-2.0 OR MIT
rust,chacha20poly1305,0.10.1,Apache-2.0 OR MIT
rust,chrono,0.4.42,Apache-2.0 OR MIT
rust,ciborium,0.2.2,Apache-2.0
rust,ciborium-io,0.2.2,Apache-2.0
rust,ciborium-ll,0.2.2,Apache-2.0
rust,cipher,0.4.4,Apache-2.0 OR MIT
rust,cipher,0.5.0-rc.1,Apache-2.0 OR MIT
rust,clap,4.5.54,Apache-2.0 OR MIT
rust,clap_builder,4.5.54,Apache-2.0 OR MIT
rust,clap_derive,4.5.49,Apache-2.0 OR MIT
rust,clap_lex,0.7.6,Apache-2.0 OR MIT
rust,cmake,0.1.57,Apache-2.0 OR MIT
rust,cobs,0.3.0,Apache-2.0 OR MIT
rust,color-backtrace,0.7.2,Apache-2.0 OR MIT
rust,colorchoice,1.0.4,Apache-2.0 OR MIT
rust,combine,4.6.7,MIT
rust,compact_str,0.8.1,MIT
rust,concurrent-queue,2.5.0,Apache-2.0 OR MIT
rust,constant_time_eq,0.4.2,Apache-2.0 OR CC0-1.0 OR MIT-0
rust,const-oid,0.10.2,Apache-2.0 OR MIT
rust,const-oid,0.9.6,Apache-2.0 OR MIT
rust,convert_case,0.10.0,MIT
rust,cordyceps,0.3.4,MIT
rust,core-foundation,0.10.1,Apache-2.0 OR MIT
rust,core-foundation,0.9.4,Apache-2.0 OR MIT
rust,core-foundation-sys,0.8.7,Apache-2.0 OR MIT
rust,cpufeatures,0.2.17,Apache-2.0 OR MIT
rust,crc32fast,1.5.0,Apache-2.0 OR MIT
rust,criterion,0.5.1,Apache-2.0 OR MIT
rust,criterion-plot,0.5.0,Apache-2.0 OR MIT
rust,critical-section,1.2.0,Apache-2.0 OR MIT
rust,crossbeam-channel,0.5.15,Apache-2.0 OR MIT
rust,crossbeam-deque,0.8.6,Apache-2.0 OR MIT
rust,crossbeam-epoch,0.9.18,Apache-2.0 OR MIT
rust,crossbeam-utils,0.8.21,Apache-2.0 OR MIT
rust,crossterm,0.28.1,MIT
rust,crossterm_winapi,0.9.1,MIT
rust,crunchy,0.2.4,MIT
rust,crypto_box,0.10.0-pre.0,Apache-2.0 OR MIT
rust,crypto-common,0.1.7,Apache-2.0 OR MIT
rust,crypto-common,0.2.0-rc.4,Apache-2.0 OR MIT
rust,crypto_secretbox,0.2.0-pre.0,Apache-2.0 OR MIT
rust,curve25519-dalek,4.1.3,BSD-3-Clause
rust,curve25519-dalek,5.0.0-pre.1,BSD-3-Clause
rust,curve25519-dalek-derive,0.1.1,Apache-2.0 OR MIT
rust,custom_debug,0.6.2,Apache-2.0 OR MIT
rust,custom_debug_derive,0.6.2,Apache-2.0 OR MIT
rust,darling,0.20.11,MIT
rust,darling,0.21.3,MIT
rust,darling,0.23.0,MIT
rust,darling_core,0.20.11,MIT
rust,darling_core,0.21.3,MIT
rust,darling_core,0.23.0,MIT
rust,darling_macro,0.20.11,MIT
rust,darling_macro,0.21.3,MIT
rust,darling_macro,0.23.0,MIT
rust,dashmap,6.1.0,MIT
rust,data-encoding,2.10.0,MIT
rust,dbus,0.9.10,Apache-2.0 OR MIT
rust,dbus-crossroads,0.5.3,Apache-2.0 OR MIT
rust,dbus-tokio,0.7.6,Apache-2.0 OR MIT
rust,der,0.7.10,Apache-2.0 OR MIT
rust,der,0.8.0-rc.10,Apache-2.0 OR MIT
rust,deranged,0.5.5,Apache-2.0 OR MIT
rust,derive_more,2.1.1,MIT
rust,derive_more-impl,2.1.1,MIT
rust,der-parser,10.0.0,Apache-2.0 OR MIT
rust,diatomic-waker,0.2.3,Apache-2.0 OR MIT
rust,digest,0.10.7,Apache-2.0 OR MIT
rust,digest,0.11.0-rc.3,Apache-2.0 OR MIT
rust,displaydoc,0.2.5,Apache-2.0 OR MIT
rust,dittolive-ditto,4.11.5,null
rust,dittolive-ditto-sys,4.11.5,null
rust,dlopen2,0.5.0,MIT
rust,document-features,0.2.12,Apache-2.0 OR MIT
rust,dotenvy,0.15.7,MIT
rust,dunce,1.0.5,Apache-2.0 OR CC0-1.0 OR MIT-0
rust,dyn-clone,1.0.20,Apache-2.0 OR MIT
rust,ed25519,2.2.3,Apache-2.0 OR MIT
rust,ed25519,3.0.0-rc.2,Apache-2.0 OR MIT
rust,ed25519-dalek,2.2.0,BSD-3-Clause
rust,ed25519-dalek,3.0.0-pre.1,BSD-3-Clause
rust,either,1.15.0,Apache-2.0 OR MIT
rust,embedded-io,0.4.0,Apache-2.0 OR MIT
rust,embedded-io,0.6.1,Apache-2.0 OR MIT
rust,encoding_rs,0.8.35,(Apache-2.0 OR MIT) AND BSD-3-Clause
rust,enum-as-inner,0.6.1,Apache-2.0 OR MIT
rust,equivalent,1.0.2,Apache-2.0 OR MIT
rust,errno,0.3.14,Apache-2.0 OR MIT
rust,extension-traits,1.0.1,Apache-2.0 OR MIT OR Zlib
rust,extern-c,0.1.0,Apache-2.0 OR MIT OR Zlib
rust,ext-trait,1.0.1,Apache-2.0 OR MIT OR Zlib
rust,ext-trait-proc_macros,1.0.1,Apache-2.0 OR MIT OR Zlib
rust,fastrand,2.3.0,Apache-2.0 OR MIT
rust,fiat-crypto,0.2.9,Apache-2.0 OR BSD-1-Clause OR MIT
rust,fiat-crypto,0.3.0,Apache-2.0 OR BSD-1-Clause OR MIT
rust,find-msvc-tools,0.1.7,Apache-2.0 OR MIT
rust,fixedbitset,0.5.7,Apache-2.0 OR MIT
rust,flate2,1.1.5,Apache-2.0 OR MIT
rust,flume,0.11.1,Apache-2.0 OR MIT
rust,fnv,1.0.7,Apache-2.0 OR MIT
rust,foldhash,0.1.5,Zlib
rust,foldhash,0.2.0,Zlib
rust,foreign-types,0.3.2,Apache-2.0 OR MIT
rust,foreign-types-shared,0.1.1,Apache-2.0 OR MIT
rust,form_urlencoded,1.2.2,Apache-2.0 OR MIT
rust,fs-err,2.11.0,Apache-2.0 OR MIT
rust,fs_extra,1.3.0,MIT
rust,futures,0.3.31,Apache-2.0 OR MIT
rust,futures-buffered,0.2.12,MIT
rust,futures-channel,0.3.31,Apache-2.0 OR MIT
rust,futures-core,0.3.31,Apache-2.0 OR MIT
rust,futures-executor,0.3.31,Apache-2.0 OR MIT
rust,futures-io,0.3.31,Apache-2.0 OR MIT
rust,futures-lite,2.6.1,Apache-2.0 OR MIT
rust,futures-macro,0.3.31,Apache-2.0 OR MIT
rust,futures-sink,0.3.31,Apache-2.0 OR MIT
rust,futures-task,0.3.31,Apache-2.0 OR MIT
rust,futures-util,0.3.31,Apache-2.0 OR MIT
rust,genawaiter,0.99.1,MIT
rust,genawaiter-macro,0.99.1,Apache-2.0 OR MIT
rust,genawaiter-proc-macro,0.99.1,Apache-2.0 OR MIT
rust,generator,0.8.8,Apache-2.0 OR MIT
rust,generic-array,0.14.7,MIT
rust,geohash,0.13.1,Apache-2.0 OR MIT
rust,geo-types,0.7.18,Apache-2.0 OR MIT
rust,getrandom,0.2.16,Apache-2.0 OR MIT
rust,getrandom,0.3.4,Apache-2.0 OR MIT
rust,gimli,0.32.3,Apache-2.0 OR MIT
rust,glob,0.3.3,Apache-2.0 OR MIT
rust,gloo-timers,0.3.0,Apache-2.0 OR MIT
rust,goblin,0.8.2,MIT
rust,h2,0.4.13,MIT
rust,half,1.8.3,Apache-2.0 OR MIT
rust,half,2.7.1,Apache-2.0 OR MIT
rust,hash32,0.2.1,Apache-2.0 OR MIT
rust,hashbrown,0.12.3,Apache-2.0 OR MIT
rust,hashbrown,0.14.5,Apache-2.0 OR MIT
rust,hashbrown,0.15.5,Apache-2.0 OR MIT
rust,hashbrown,0.16.1,Apache-2.0 OR MIT
rust,heapless,0.7.17,Apache-2.0 OR MIT
rust,heck,0.5.0,Apache-2.0 OR MIT
rust,hermit-abi,0.5.2,Apache-2.0 OR MIT
rust,hex,0.4.3,Apache-2.0 OR MIT
rust,hexane,0.1.6,MIT
rust,hickory-proto,0.25.2,Apache-2.0 OR MIT
rust,hickory-resolver,0.25.2,Apache-2.0 OR MIT
rust,hive-ble-test,0.1.0,MIT
rust,hive-btle,0.1.0-rc.30,Apache-2.0
rust,hive-commander,0.1.0,null
rust,hive-discovery,0.1.0,MIT
rust,hive-ffi,0.1.0,Apache-2.0
rust,hive-inference,0.1.0,MIT
rust,hive-mesh,0.1.0,MIT
rust,hive-persistence,0.1.0,MIT
rust,hive-protocol,0.1.0,MIT
rust,hive-schema,0.1.0,MIT
rust,hive-sim,0.1.0,MIT
rust,hive-tak-bridge,0.1.0,MIT
rust,hive-transport,0.1.0,MIT
rust,hkdf,0.12.4,Apache-2.0 OR MIT
rust,hmac,0.12.1,Apache-2.0 OR MIT
rust,http,1.4.0,Apache-2.0 OR MIT
rust,httparse,1.10.1,Apache-2.0 OR MIT
rust,http-body,1.0.1,MIT
rust,http-body-util,0.1.3,MIT
rust,httpdate,1.0.3,Apache-2.0 OR MIT
rust,hybrid-array,0.4.5,Apache-2.0 OR MIT
rust,hyper,1.8.1,MIT
rust,hyper-rustls,0.27.7,Apache-2.0 OR ISC OR MIT
rust,hyper-tls,0.6.0,Apache-2.0 OR MIT
rust,hyper-util,0.1.19,MIT
rust,iana-time-zone,0.1.64,Apache-2.0 OR MIT
rust,iana-time-zone-haiku,0.1.2,Apache-2.0 OR MIT
rust,icu_collections,2.1.1,Unicode-3.0
rust,icu_locale_core,2.1.1,Unicode-3.0
rust,icu_normalizer,2.1.1,Unicode-3.0
rust,icu_normalizer_data,2.1.1,Unicode-3.0
rust,icu_properties,2.1.2,Unicode-3.0
rust,icu_properties_data,2.1.2,Unicode-3.0
rust,icu_provider,2.1.1,Unicode-3.0
rust,ident_case,1.0.1,Apache-2.0 OR MIT
rust,idna,1.1.0,Apache-2.0 OR MIT
rust,idna_adapter,1.2.1,Apache-2.0 OR MIT
rust,if-addrs,0.13.4,BSD-3-Clause OR MIT
rust,igd-next,0.16.2,MIT
rust,indexmap,1.9.3,Apache-2.0 OR MIT
rust,indexmap,2.13.0,Apache-2.0 OR MIT
rust,indoc,2.0.7,Apache-2.0 OR MIT
rust,inout,0.1.4,Apache-2.0 OR MIT
rust,inout,0.2.2,Apache-2.0 OR MIT
rust,inplace-vec-builder,0.1.1,Apache-2.0 OR MIT
rust,instability,0.3.11,MIT
rust,instant,0.1.13,BSD-3-Clause
rust,ipconfig,0.3.2,Apache-2.0 OR MIT
rust,ipnet,2.11.0,Apache-2.0 OR MIT
rust,iri-string,0.7.10,Apache-2.0 OR MIT
rust,iroh,0.95.1,Apache-2.0 OR MIT
rust,iroh-base,0.95.1,Apache-2.0 OR MIT
rust,iroh-blobs,0.97.0,Apache-2.0 OR MIT
rust,iroh-io,0.6.2,Apache-2.0 OR MIT
rust,iroh-metrics,0.37.0,Apache-2.0 OR MIT
rust,iroh-metrics-derive,0.4.0,Apache-2.0 OR MIT
rust,iroh-quinn,0.14.0,Apache-2.0 OR MIT
rust,iroh-quinn-proto,0.13.0,Apache-2.0 OR MIT
rust,iroh-quinn-udp,0.5.7,Apache-2.0 OR MIT
rust,iroh-relay,0.95.1,Apache-2.0 OR MIT
rust,iroh-tickets,0.2.0,Apache-2.0 OR MIT
rust,irpc,0.11.0,Apache-2.0 OR MIT
rust,irpc-derive,0.9.0,Apache-2.0 OR MIT
rust,is-terminal,0.4.17,MIT
rust,is_terminal_polyfill,1.70.2,Apache-2.0 OR MIT
rust,itertools,0.10.5,Apache-2.0 OR MIT
rust,itertools,0.13.0,Apache-2.0 OR MIT
rust,itertools,0.14.0,Apache-2.0 OR MIT
rust,itoa,1.0.17,Apache-2.0 OR MIT
rust,jni,0.21.1,Apache-2.0 OR MIT
rust,jni-sys,0.3.0,Apache-2.0 OR MIT
rust,jobserver,0.1.34,Apache-2.0 OR MIT
rust,js-sys,0.3.83,Apache-2.0 OR MIT
rust,lazy_static,1.5.0,Apache-2.0 OR MIT
rust,leb128,0.2.5,Apache-2.0 OR MIT
rust,libc,0.2.180,Apache-2.0 OR MIT
rust,libdbus-sys,0.2.7,Apache-2.0 OR MIT
rust,libm,0.2.15,MIT
rust,linux-raw-sys,0.11.0,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,linux-raw-sys,0.4.15,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,litemap,0.8.1,Unicode-3.0
rust,litrs,1.0.0,Apache-2.0 OR MIT
rust,lock_api,0.4.14,Apache-2.0 OR MIT
rust,log,0.4.29,Apache-2.0 OR MIT
rust,loom,0.7.2,MIT
rust,lru,0.12.5,MIT
rust,lru,0.16.3,MIT
rust,lru-slab,0.1.2,Apache-2.0 OR MIT OR Zlib
rust,macaddr,1.0.1,Apache-2.0 OR MIT
rust,macro_rules_attribute,0.1.3,MIT
rust,macro_rules_attribute-proc_macro,0.1.3,MIT
rust,matchers,0.2.0,MIT
rust,matchit,0.7.3,BSD-3-Clause AND MIT
rust,mdns-sd,0.11.5,Apache-2.0 OR MIT
rust,memchr,2.7.6,MIT OR Unlicense
rust,mime,0.3.17,Apache-2.0 OR MIT
rust,mime_guess,2.0.5,MIT
rust,minimal-lexical,0.2.1,Apache-2.0 OR MIT
rust,miniz_oxide,0.8.9,Apache-2.0 OR MIT OR Zlib
rust,mio,1.1.1,MIT
rust,moka,0.12.12,(Apache-2.0 OR MIT) AND Apache-2.0
rust,multimap,0.10.1,Apache-2.0 OR MIT
rust,n0-error,0.1.2,Apache-2.0 OR MIT
rust,n0-error-macros,0.1.2,Apache-2.0 OR MIT
rust,n0-future,0.3.2,Apache-2.0 OR MIT
rust,n0-snafu,0.2.2,Apache-2.0 OR MIT
rust,n0-watcher,0.5.0,Apache-2.0 OR MIT
rust,native-tls,0.2.14,Apache-2.0 OR MIT
rust,negentropy,0.5.0,MIT
rust,nested_enum_utils,0.2.3,Apache-2.0 OR MIT
rust,netdev,0.38.2,MIT
rust,netlink-packet-core,0.8.1,MIT
rust,netlink-packet-route,0.25.1,MIT
rust,netlink-proto,0.12.0,MIT
rust,netlink-sys,0.8.7,MIT
rust,netwatch,0.12.0,Apache-2.0 OR MIT
rust,never-say-never,6.6.666,Apache-2.0 OR MIT OR Zlib
rust,nix,0.29.0,MIT
rust,noise,0.9.0,Apache-2.0 OR MIT
rust,nom,7.1.3,MIT
rust,ntimestamp,1.0.0,MIT
rust,nu-ansi-term,0.50.3,MIT
rust,num-bigint,0.4.6,Apache-2.0 OR MIT
rust,num-conv,0.1.0,Apache-2.0 OR MIT
rust,num_cpus,1.17.0,Apache-2.0 OR MIT
rust,num-derive,0.4.2,Apache-2.0 OR MIT
rust,num_enum,0.7.5,Apache-2.0 OR BSD-3-Clause OR MIT
rust,num_enum_derive,0.7.5,Apache-2.0 OR BSD-3-Clause OR MIT
rust,num-integer,0.1.46,Apache-2.0 OR MIT
rust,num-traits,0.2.19,Apache-2.0 OR MIT
rust,objc2,0.5.2,MIT
rust,objc2-core-bluetooth,0.2.2,MIT
rust,objc2-encode,4.1.0,MIT
rust,objc2-foundation,0.2.2,MIT
rust,objc-sys,0.3.5,MIT
rust,object,0.37.3,Apache-2.0 OR MIT
rust,oid-registry,0.8.1,Apache-2.0 OR MIT
rust,once_cell,1.21.3,Apache-2.0 OR MIT
rust,once_cell_polyfill,1.70.2,Apache-2.0 OR MIT
rust,oorandom,11.1.5,MIT
rust,opaque-debug,0.3.1,Apache-2.0 OR MIT
rust,openssl,0.10.75,Apache-2.0
rust,openssl-macros,0.1.1,Apache-2.0 OR MIT
rust,openssl-probe,0.1.6,Apache-2.0 OR MIT
rust,openssl-probe,0.2.0,Apache-2.0 OR MIT
rust,openssl-sys,0.9.111,MIT
rust,parking,2.2.1,Apache-2.0 OR MIT
rust,parking_lot,0.12.5,Apache-2.0 OR MIT
rust,parking_lot_core,0.9.12,Apache-2.0 OR MIT
rust,password-hash,0.5.0,Apache-2.0 OR MIT
rust,paste,1.0.15,Apache-2.0 OR MIT
rust,pem,3.0.6,MIT
rust,pem-rfc7468,1.0.0,Apache-2.0 OR MIT
rust,percent-encoding,2.3.2,Apache-2.0 OR MIT
rust,petgraph,0.7.1,Apache-2.0 OR MIT
rust,pharos,0.5.3,Unlicense
rust,pin-project,1.1.10,Apache-2.0 OR MIT
rust,pin-project-internal,1.1.10,Apache-2.0 OR MIT
rust,pin-project-lite,0.2.16,Apache-2.0 OR MIT
rust,pin-utils,0.1.0,Apache-2.0 OR MIT
rust,pkarr,5.0.2,MIT
rust,pkcs8,0.10.2,Apache-2.0 OR MIT
rust,pkcs8,0.11.0-rc.8,Apache-2.0 OR MIT
rust,pkg-config,0.3.32,Apache-2.0 OR MIT
rust,plain,0.2.3,Apache-2.0 OR MIT
rust,plotters,0.3.7,MIT
rust,plotters-backend,0.3.7,MIT
rust,plotters-svg,0.3.7,MIT
rust,polling,2.8.0,Apache-2.0 OR MIT
rust,poly1305,0.8.0,Apache-2.0 OR MIT
rust,poly1305,0.9.0-rc.2,Apache-2.0 OR MIT
rust,portable-atomic,1.13.0,Apache-2.0 OR MIT
rust,portmapper,0.12.0,Apache-2.0 OR MIT
rust,positioned-io,0.3.5,MIT
rust,postcard,1.1.3,Apache-2.0 OR MIT
rust,postcard-derive,0.2.2,Apache-2.0 OR MIT
rust,potential_utf,0.1.4,Unicode-3.0
rust,powerfmt,0.2.0,Apache-2.0 OR MIT
rust,ppv-lite86,0.2.21,Apache-2.0 OR MIT
rust,prettyplease,0.1.25,Apache-2.0 OR MIT
rust,prettyplease,0.2.37,Apache-2.0 OR MIT
rust,proc-macro2,1.0.105,Apache-2.0 OR MIT
rust,proc-macro-crate,3.4.0,Apache-2.0 OR MIT
rust,proc-macro-error,0.4.12,Apache-2.0 OR MIT
rust,proc-macro-error-attr,0.4.12,Apache-2.0 OR MIT
rust,proc-macro-hack,0.5.20+deprecated,Apache-2.0 OR MIT
rust,proptest,1.9.0,Apache-2.0 OR MIT
rust,prost,0.13.5,Apache-2.0
rust,prost-build,0.13.5,Apache-2.0
rust,prost-derive,0.13.5,Apache-2.0
rust,prost-types,0.13.5,Apache-2.0
rust,quick-error,1.2.3,Apache-2.0 OR MIT
rust,quick-xml,0.37.5,MIT
rust,quinn,0.11.9,Apache-2.0 OR MIT
rust,quinn-proto,0.11.13,Apache-2.0 OR MIT
rust,quinn-udp,0.5.14,Apache-2.0 OR MIT
rust,quote,1.0.43,Apache-2.0 OR MIT
rust,rand,0.8.5,Apache-2.0 OR MIT
rust,rand,0.9.2,Apache-2.0 OR MIT
rust,rand_chacha,0.3.1,Apache-2.0 OR MIT
rust,rand_chacha,0.9.0,Apache-2.0 OR MIT
rust,rand_core,0.6.4,Apache-2.0 OR MIT
rust,rand_core,0.9.3,Apache-2.0 OR MIT
rust,rand_xorshift,0.3.0,Apache-2.0 OR MIT
rust,rand_xorshift,0.4.0,Apache-2.0 OR MIT
rust,range-collections,0.4.6,Apache-2.0 OR MIT
rust,ratatui,0.28.1,MIT
rust,rayon,1.11.0,Apache-2.0 OR MIT
rust,rayon-core,1.13.0,Apache-2.0 OR MIT
rust,rcgen,0.14.6,Apache-2.0 OR MIT
rust,redb,2.6.3,Apache-2.0 OR MIT
rust,redox_syscall,0.5.18,MIT
rust,ref-cast,1.0.25,Apache-2.0 OR MIT
rust,ref-cast-impl,1.0.25,Apache-2.0 OR MIT
rust,r-efi,5.3.0,Apache-2.0 OR LGPL-2.1-or-later OR MIT
rust,reflink-copy,0.1.28,Apache-2.0 OR MIT
rust,regex,1.12.2,Apache-2.0 OR MIT
rust,regex-automata,0.4.13,Apache-2.0 OR MIT
rust,regex-syntax,0.8.8,Apache-2.0 OR MIT
rust,reqwest,0.12.28,Apache-2.0 OR MIT
rust,resolv-conf,0.7.6,Apache-2.0 OR MIT
rust,ring,0.17.14,Apache-2.0 AND ISC
rust,rustc-demangle,0.1.26,Apache-2.0 OR MIT
rust,rustc-hash,2.1.1,Apache-2.0 OR MIT
rust,rustc_version,0.4.1,Apache-2.0 OR MIT
rust,rusticata-macros,4.1.0,Apache-2.0 OR MIT
rust,rustix,0.38.44,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,rustix,1.1.3,Apache-2.0 OR Apache-2.0 WITH LLVM-exception OR MIT
rust,rustls,0.23.36,Apache-2.0 OR ISC OR MIT
rust,rustls-native-certs,0.8.3,Apache-2.0 OR ISC OR MIT
rust,rustls-pemfile,2.2.0,Apache-2.0 OR ISC OR MIT
rust,rustls-pki-types,1.13.2,Apache-2.0 OR MIT
rust,rustls-platform-verifier,0.5.3,Apache-2.0 OR MIT
rust,rustls-platform-verifier-android,0.1.1,Apache-2.0 OR MIT
rust,rustls-webpki,0.103.8,ISC
rust,rustversion,1.0.22,Apache-2.0 OR MIT
rust,rusty-fork,0.3.1,Apache-2.0 OR MIT
rust,ryu,1.0.22,Apache-2.0 OR BSL-1.0
rust,safer-ffi,0.1.13,MIT
rust,safer_ffi-proc_macros,0.1.13,MIT
rust,salsa20,0.11.0-rc.1,Apache-2.0 OR MIT
rust,same-file,1.0.6,MIT OR Unlicense
rust,scc,2.4.0,Apache-2.0
rust,schannel,0.1.28,MIT
rust,schemars,0.9.0,MIT
rust,schemars,1.2.0,MIT
rust,scoped-tls,1.0.1,Apache-2.0 OR MIT
rust,scopeguard,1.2.0,Apache-2.0 OR MIT
rust,scroll,0.12.0,MIT
rust,scroll_derive,0.12.1,MIT
rust,sdd,3.0.10,Apache-2.0
rust,security-framework,2.11.1,Apache-2.0 OR MIT
rust,security-framework,3.5.1,Apache-2.0 OR MIT
rust,security-framework-sys,2.15.0,Apache-2.0 OR MIT
rust,self_cell,1.2.2,Apache-2.0 OR GPL-2.0
rust,semver,1.0.27,Apache-2.0 OR MIT
rust,send_wrapper,0.6.0,Apache-2.0 OR MIT
rust,serde,1.0.228,Apache-2.0 OR MIT
rust,serde_bytes,0.11.19,Apache-2.0 OR MIT
rust,serde_cbor,0.11.2,Apache-2.0 OR MIT
rust,serde_core,1.0.228,Apache-2.0 OR MIT
rust,serdect,0.4.2,Apache-2.0 OR MIT
rust,serde_derive,1.0.228,Apache-2.0 OR MIT
rust,serde_json,1.0.149,Apache-2.0 OR MIT
rust,serde_path_to_error,0.1.20,Apache-2.0 OR MIT
rust,serde_spanned,0.6.9,Apache-2.0 OR MIT
rust,serde_spanned,1.0.4,Apache-2.0 OR MIT
rust,serde-transcode,1.1.1,Apache-2.0 OR MIT
rust,serde_urlencoded,0.7.1,Apache-2.0 OR MIT
rust,serde_with,3.16.1,Apache-2.0 OR MIT
rust,serde_with_macros,3.16.1,Apache-2.0 OR MIT
rust,serial_test,3.3.1,MIT
rust,serial_test_derive,3.3.1,MIT
rust,sha1,0.11.0-rc.2,Apache-2.0 OR MIT
rust,sha1_smol,1.0.1,BSD-3-Clause
rust,sha2,0.10.9,Apache-2.0 OR MIT
rust,sha2,0.11.0-rc.2,Apache-2.0 OR MIT
rust,sha2-const-stable,0.1.0,Apache-2.0 OR MIT
rust,sharded-slab,0.1.7,MIT
rust,shlex,1.3.0,Apache-2.0 OR MIT
rust,signal-hook,0.3.18,Apache-2.0 OR MIT
rust,signal-hook-mio,0.2.5,Apache-2.0 OR MIT
rust,signal-hook-registry,1.4.8,Apache-2.0 OR MIT
rust,signature,2.2.0,Apache-2.0 OR MIT
